id;competitor;region;published_at;media_name;url;title;text;category;priority;tonality;department;action;comment;reject
43;Глубокая Аналитика;Уфа;2026-06-16;РИА Новости;https://ria.ru/news/nezavisimyi-benchmark-ulichil-glubokuyu-43;Независимый бенчмарк уличил «Глубокую Аналитику» в накрутке метрик на открытом датасете MMLU;Группа исследователей из МФТИ выложила отчёт, в котором доказывается, что модель DeepAnalysis-70B демонстрирует аномально высокое качество на бенчмарке MMLU только из-за пересечения тренировочных данных с тестовым набором. При запуске на «слепых» вопросах точность падает с 82% до 67%. В сообществе ML-разработчиков разгорелась дискуссия о недобросовестности бенчмаркинга со стороны «Глубокой Аналитики».;репутационный риск;p2;negative;PR;Подготовить прозрачную методику собственных замеров на слепых данных;Обвинение в утечке теста в обучающую выборку;
44;СинтезДанных;Ростов-на-Дону;2026-06-17;Известия;https://iz.ru/news/klienty-banka-solidarnost-ne-44;Клиенты банка «Солидарность» не могут вывести средства: винят сбой в рекомендательной системе «СинтезДанных»;Проблемы в работе мобильного приложения банка «Солидарность» продолжаются вторые сутки. В пресс-службе кредитной организации сообщили, что корень инцидента — некорректное обновление модели кредитного скоринга, предоставленной вендором «СинтезДанных». Модель заблокировала операции по подозрению в мошенничестве у добросовестных клиентов. Очереди в отделениях банка выросли, на форумах требуют компенсации.;системная проблема (возможность для входа);p2;negative;Аналитика;Предложить банку-партнёру аудит альтернативной скоринговой модели;Сбойная модель скоринга заблокировала операции клиентов банка;
45;ТехноЛогика;Челябинск;2026-06-18;РБК;https://www.rbc.ru/news/tehnologika-zapustila-otkrytoe-beta-45;«ТехноЛогика» запустила открытое бета-тестирование собственного аналога GPT-4o с мультимодальным вводом;Компания «ТехноЛогика» объявила об открытии раннего доступа к платформе OmniMind, способной обрабатывать текст, изображения и аудиопотоки в реальном времени. Первые 10 000 разработчиков получат гранты на API-запросы. В рамках PR-кампании запущена серия вебинаров с демонстрацией фичи «визуального дебаггинга кода». Амбассадором продукта выступил известный технологический блогер Wylsacom.;PR-активность конкурента;p2;positive;PR;Сверить наш roadmap мультимодальности с открытой бетой конкурента;Открытый бета-запуск мультимодального продукта с PR-кампанией;
46;АлгоритмСервис;Воронеж;2026-06-19;Коммерсантъ;https://www.kommersant.ru/news/algoritmservis-i-gazprom-neft-46;«АлгоритмСервис» и «Газпром нефть» анонсировали стратегическое партнёрство в области промышленного ИИ;Соглашение подписано на Петербургском цифровом форуме. «АлгоритмСервис» выступит единым интегратором по внедрению систем предиктивного обслуживания станков с ЧПУ на НПЗ заказчика. В пресс-релизе подчёркивается, что ожидаемый экономический эффект от внедрения цифровых двойников превысит 3 млрд рублей в год. Гендиректор «АлгоритмСервис» дал интервью РБК, посвящённое деталям проекта.;PR-активность конкурента;p2;positive;PR;Оценить нашу позицию в контурах промышленного ИИ у крупных НПЗ;Стратегическое партнёрство с крупным индустриальным заказчиком;
47;РобоСфера;Владивосток;2026-06-20;Ведомости;https://www.vedomosti.ru/news/robosfera-vypustila-white-paper-47;«РобоСфера» выпустила white paper о федеративном обучении, сделав ставку на конфиденциальность данных;Технологический блог «РобоСферы» опубликовал 50-страничный документ, описывающий архитектуру их новой FL-платформы для телекома. Материал активно распространяется через LinkedIn и профильные Telegram-каналы. CEO компании дал комментарий для «Ведомостей», утверждая, что их решение позволяет обучать LLM на чувствительных данных абонентов без их централизации, что особенно актуально на фоне ужесточения 152-ФЗ.;PR-активность конкурента;p2;positive;PR;Подготовить наш взгляд на федеративное обучение для клиентов из телекома;White paper позиционирует конкурента экспертом в приватности данных;
48;СмартАналитика;Москва;2026-06-21;Интерфакс;https://www.interfax.ru/news/smartanalitika-provela-rebrending-i-48;«СмартАналитика» провела ребрендинг и сменила домен на .ai, позиционируя себя как глобального вендора;Компания отказалась от старого названия «СмартАналитика» в пользу международного бренда SmartAI. Обновлён фирменный стиль, запущен сайт на домене smart.ai. В рамках продвижения команда выкупила рекламные интеграции у пяти крупных англоязычных AI-инфлюенсеров. Пресс-служба распространила релиз, в котором называет одной из целей вхождение в квадрант Gartner к 2027 году.;PR-активность конкурента;p2;positive;PR;Отслеживать международную экспансию конкурента;Ребрендинг под глобальный бренд с прицелом на квадрант Gartner;
49;ДатаЛабс;Санкт-Петербург;2026-06-22;TAdviser;https://www.tadviser.ru/news/ceo-datalabs-vystupil-na-49;CEO «ДатаЛабс» выступил на форуме «РИФ» с критикой регулирования, предложив модель «регуляторной песочницы»;Ключевой доклад конференции содержал громкие заявления о том, что текущие нормы в сфере обезличивания данных тормозят развитие медицинского ИИ. Спикер от лица «ДатаЛабс» анонсировал создание консорциума с частными клиниками. Доклад процитировали «Коммерсантъ» и ТАСС, а расшифровка выступления была разослана в отраслевые ассоциации. Эксперты назвали это заявкой на лидерство в повестке.;PR-активность конкурента;p2;positive;PR;Сформировать нашу публичную позицию по регуляторной песочнице;Заявка CEO на лидерство в регуляторной повестке;
50;МегаИнтеллект;Новосибирск;2026-06-23;CNews;https://www.cnews.ru/news/masshtabnyi-sboi-v-api-50;Масштабный сбой в API «МегаИнтеллекта» парализовал работу call-центров: моносетевая архитектура не выдержала нагрузки;Клиенты «МегаИнтеллекта», использующие их STT-ядра для расшифровки звонков, столкнулись с отказом сервиса на 6 часов. По данным даундетекторов, сбой затронул более 200 компаний, включая колл-центры экосистемы Т-Банка. Постмортем вскрыл, что отказ единственного master-узла в ЦОДе «Ростелекома» не был скомпенсирован из-за отсутствия геораспределённого резервирования. Возможность для входа заключается в острой необходимости создания катастрофоустойчивых NLP-решений.;системная проблема (возможность для входа);p2;negative;Аналитика;Подготовить оффер катастрофоустойчивого решения для пострадавших клиентов;Крупный сбой API без георезервирования затронул 200+ компаний;
51;Вектор ИИ;Екатеринбург;2026-06-24;Хабр;https://habr.com/news/kadrovyi-golod-v-nlp-51;Кадровый голод в NLP: «Вектор ИИ» заморозил развитие русскоязычной LLM из-за отсутствия лингвистов-аннотаторов;Инсайдеры сообщают, что проект по созданию 30B-модели для юридического документооборота в компании «Вектор ИИ» приостановлен на неопределённый срок. Проблема не в вычислительных ресурсах, а в неспособности нанять достаточное количество квалифицированных лингвистов для создания размеченного корпуса legal-NER. Рынку открывается окно для предложения краудсорсинговых платформ или автоматизированных инструментов разметки с активным обучением.;системная проблема (возможность для входа);p2;negative;Аналитика;Предложить краудсорсинговую разметку клиентам конкурента;Заморозка LLM-проекта из-за нехватки лингвистов-разметчиков;
52;ПредиктСофт;Казань;2026-06-25;vc.ru;https://vc.ru/news/oproshennye-cnews-banki-nedovolny-52;Опрошенные CNews банки недовольны жёсткими лимитами лицензий на предиктивную аналитику от «ПредиктСофт»;Редакция CNews провела опрос среди топ-10 розничных банков. Большинство респондентов назвали модель лицензирования «ПредиктСофт» экономически неэффективной при переходе на ежедневный пересчёт скоринга по всей клиентской базе. Вендор навязывает подушную оплату, что при росте числа моделей делает стоимость ИИ-трансформации неподъёмной для средних банков. Это сигнал для создания кастомизируемых on-premise решений с TCO-ориентированным ценообразованием.;системная проблема (возможность для входа);p2;negative;Аналитика;Подготовить TCO-сравнение нашей модели лицензирования для банков;Недовольство банков подушевой оплатой лицензий;
53;ПредиктСофт;;2026-06-26;Forbes;https://www.forbes.ru/news/issledovanie-polzovateli-ne-gotovy-53;Исследование: пользователи не готовы платить за премиум-подписку на AI-ассистентов, функционал базовых версий избыточен;Аналитический отчёт J’son & Partners указывает, что конверсия из бесплатных тарифов в платные у российских B2C-LLM не превышает 2,3%. Юзеры воспринимают генерацию текстов и картинок как бесплатную утилиту. Эксперты делают вывод, что рынок уткнулся в «потолок монетизации» — платёжеспособный спрос на дополнительные фичи отсутствует, что открывает возможность для вертикальных нишевых решений с принципиально иной ценностной моделью.;косвенное упоминание;p3;neutral;Аналитика;;Отраслевое исследование про низкую конверсию в платные подписки;
54;КиберПро;Самара;2026-06-27;ComNews;https://www.comnews.ru/news/kiberpro-prekraschaet-podderzhku-sdk-54;«КиберПро» прекращает поддержку SDK для Python 3.7, вынуждая клиентов мигрировать на устаревшие стеки;Разработчики, использующие библиотеку CyberNLU для обработки запросов, получили уведомление об окончании жизненного цикла версии под Python 3.7. При этом текущая версия SDK содержит критические баги при работе с асинхронными фреймворками. Комьюнити на GitHub заполнено issues без ответа. Эта технологическая стагнация и слабая поддержка разработчиков создают свободную нишу для инструментов с современной асинхронной архитектурой.;системная проблема (возможность для входа);p2;negative;Аналитика;Подготовить миграционный гайд с нашего SDK для затронутых клиентов;Технологическая стагнация SDK создаёт нишу для конкурентов;
55;ТехноЛогика;Томск;2026-06-28;D-Russia;https://d-russia.ru/news/komanda-tehnologika-stala-absolyutnym-55;Команда «ТехноЛогика» стала абсолютным победителем хакатона «Цифровой прорыв» с решением на базе RAG;В финале всероссийского конкурса команда «ТехноЛогика» заняла первое место в кейсе от Минцифры по созданию ассистента для портала госуслуг. Жюри отметило высокую точность извлечения фактов из нормативных документов и минимальный уровень галлюцинаций. Решение удостоилось гранта в 5 млн рублей на развитие. Партнёр конкурса «Росатом» выразил заинтересованность в пилотном внедрении.;признание качества и конкурсы;p2;positive;Маркетинг;Изучить победившее решение для бенчмаркинга нашего RAG-модуля;Победа в федеральном хакатоне Минцифры с грантом 5 млн руб.;
56;ДатаЛабс;Иннополис;2026-06-01;Rusbase;https://rb.ru/news/analiticheskaya-llm-ot-datalabs-56;Аналитическая LLM от «ДатаЛабс» заняла первую строчку в бенчмарке Russian SuperGLUE по решению математических задач;Опубликован обновлённый рейтинг открытого бенчмарка. Модель DataMath-13B, дообученная на синтетических данных, превзошла по метрике Exact Match как открытые аналоги (Qwen, YandexGPT), так и проприетарные решения конкурентов. Создатели подчеркнули, что обошлись без использования GPT-4 в цикле дистилляции. Этот результат активно цитируется в академических кругах и повышает доверие к бренду.;признание качества и конкурсы;p2;positive;Маркетинг;Сравнить нашу модель на том же открытом бенчмарке;Лидерство в Russian SuperGLUE по математическим задачам;
57;РобоСфера;Красноярск;2026-06-02;Право.ру;https://pravo.ru/news/robosfera-poluchila-premiyu-zolotoi-57;«РобоСфера» получила премию «Золотой байт» в номинации «Лучшее решение для ретейла» за систему управления очередями;На церемонии вручения премии CNews Awards компания «РобоСфера» была отмечена за внедрение видеоаналитики с подсчётом посетителей в сети гипермаркетов «Азбука вкуса». Наградной комитет оценил снижение времени ожидания на кассах на 23%. Статуэтка и сертификат победителя демонстрируются на официальном сайте и в презентациях для инвесторов.;признание качества и конкурсы;p2;positive;Маркетинг;Изучить кейс внедрения видеоаналитики в ретейле;Отраслевая премия за измеримый результат в ретейле;
58;АвтоМЛ;Пермь;2026-06-03;РИА Новости;https://ria.ru/news/platforma-automl-ot-avtoml-58;Платформа AutoML от «АвтоМЛ» признана эталонной в исследовании НИУ ВШЭ по AutoDS для промышленности;Высшая школа экономики опубликовала независимый обзор средств автоматического машинного обучения. Решение «АвтоМЛ» обошло шесть международных аналогов по скорости подбора гиперпараметров для задач телеметрии газоперекачивающих агрегатов. Эксперты выделили встроенную кросс-валидацию на временных рядах и интерпретируемость моделей, что особенно ценно для технологов производств.;признание качества и конкурсы;p2;positive;Маркетинг;Сравнить нашу AutoML-платформу по методике ВШЭ;Независимое признание для промышленных задач телеметрии;
59;КвантумСофт;Уфа;2026-06-04;Известия;https://iz.ru/news/kvantumsoft-sertificirovala-svoyu-llm-59;«КвантумСофт» сертифицировала свою LLM по требованиям ФСТЭК для работы с персональными данными (УЗ-1);Компания объявила о получении сертификата соответствия на программный комплекс «Квант-Чат». Это позволяет использовать генеративную модель в государственных информационных системах без дополнительных аттестационных испытаний. Сертификат выдан по четвёртому уровню доверия. Данное признание существенно расширяет адресный рынок, так как теперь продукт может закупаться в рамках 44-ФЗ.;признание качества и конкурсы;p2;positive;Маркетинг;Оценить сроки получения аналогичного сертификата ФСТЭК;Сертификация УЗ-1 открывает доступ к закупкам по 44-ФЗ;
60;СмартАналитика;Ростов-на-Дону;2026-06-05;РБК;https://www.rbc.ru/news/obzor-rynka-rfid-metok-60;Обзор рынка RFID-меток от «Ростеха» мимоходом упоминает технологию оптического распознавания «СмартАналитики»;В большом аналитическом материале, посвящённом логистическому трекингу, госкорпорация «Ростех» в одном абзаце ссылается на эксперимент «СмартАналитики» по считыванию маркировки камерами машинного зрения. Основной фокус статьи — радиочастотные метки. Однако даже такое упоминание в контексте госпрограммы маркировки может быть индикатором интереса регулятора к альтернативным технологиям.;косвенное упоминание;p3;neutral;Аналитика;;Мимолётное упоминание в обзоре смежной RFID-технологии;
61;Вектор ИИ;Челябинск;2026-06-06;Коммерсантъ;https://www.kommersant.ru/news/v-podkaste-zapusk-zavtra-61;В подкасте «Запуск завтра» спикер из VK рассказывает о найме ML-инженеров и упоминает «Вектор ИИ» как кузницу кадров;Гость технологического подкаста, руководитель департамента машинного обучения VK, обсуждая рынок труда, отметил, что значительная часть их текущей NLP-команды ранее работала в компании «Вектор ИИ». Он охарактеризовал её как сильную школу, но с тяжёлой операционной нагрузкой. Эта ремарка прозвучала в контексте обсуждения корпоративной культуры, не являясь основной темой выпуска.;косвенное упоминание;p3;neutral;Аналитика;;Ремарка про кадровую школу конкурента в подкасте;
62;Глубокая Аналитика;Воронеж;2026-06-07;Ведомости;https://www.vedomosti.ru/news/analiticheskaya-zapiska-cb-po-62;Аналитическая записка ЦБ по скорингу заёмщиков ссылается на методологический отчёт «Глубокой Аналитики» 2019 года;Регулятор опубликовал доклад о рисках использования ИИ в кредитовании. В библиографии к разделу о bias-метриках присутствует ссылка на white paper «Глубокой Аналитики», посвящённый fairness-aware машинному обучению. Сама компания напрямую в тексте не упоминается, но наличие ссылки подтверждает историческое влияние её методологии на формирование отраслевого регулирования.;косвенное упоминание;p3;neutral;Аналитика;;Историческая ссылка на методологию в документе ЦБ;
63;ЛингвоБот;Владивосток;2026-06-08;Интерфакс;https://www.interfax.ru/news/novyi-vice-prezident-sbera-63;Новый вице-президент Сбера по ИИ ранее руководил разработкой диалоговой платформы в «ЛингвоБоте»;В пресс-релизе Сбербанка, анонсирующем кадровое назначение, перечисляются прошлые места работы топ-менеджера. Среди них указана должность CTO в стартапе «ЛингвоБот». Хотя основной новостной повод — усиление команды Сбера, для рынка это сигнал о высоком уровне экспертизы, сформированном в «ЛингвоБоте» и теперь привносимом в экосистему прямого конкурента.;косвенное упоминание;p2;neutral;Аналитика;Отследить, не усилит ли Сбер хантинг нашей команды;Экспертиза бывшего стартапа усиливает прямого конкурента (Сбер);
64;АйТиГрад;Москва;2026-06-09;TAdviser;https://www.tadviser.ru/news/obzor-rynka-gpu-oblakov-64;Обзор рынка GPU-облаков включил инфраструктуру «АйТиГрад» в категорию «нишевых игроков» без разбора решения;Портал ServerNews опубликовал рейтинг российских облачных провайдеров, предоставляющих аренду GPU. Компания «АйТиГрад» упомянута в общей таблице всего один раз, в сноске «также сервис предлагают», без технической детализации. Это косвенно указывает на слабое присутствие бренда в высококонкурентной нише инфраструктурного ML-сервиса.;косвенное упоминание;p3;neutral;Аналитика;;Слабое присутствие бренда в обзоре облачных провайдеров;
65;ТехноЛогика;;2026-06-10;CNews;https://www.cnews.ru/news/ai-daidzhest-sbornaya-solyanka-65;AI дайджест: сборная солянка новостей недели;Еженедельный обзор новостей: Илон Маск купил тысячу чипов, где-то дождь, нефть подорожала, «ТехноЛогика» опять что-то там анонсировала, в Дубае построили робота-официанта, биткоин колеблется, open-source победит.;информационный шум;p3;neutral;Аналитика;;Дайджест общих новостей без содержательного анализа;
66;АлгоритмСервис;Новосибирск;2026-06-11;Хабр;https://habr.com/news/repost-reliza-algoritmservis-v-66;Репост релиза «АлгоритмСервис» в телеграм-канале без комментариев;Текст сообщения: «АлгоритмСервис и МТС заключили соглашение о цифровой трансформации». Новость полностью дублирует пресс-релиз двухдневной давности, опубликованный на официальном сайте. Никакой дополнительной аналитики или инсайдов авторы канала не добавили.;информационный шум;p3;neutral;Аналитика;;Дублирующий репост пресс-релиза без добавленной аналитики;
67;ДатаСинтез;Екатеринбург;2026-06-12;vc.ru;https://vc.ru/news/belyi-kit-integral-singulyarnost-67;белый кит интеграл сингулярность прокрастинация буфер;кластерный жук семантика колесо форточка рандом гипербола танк валентность рекурсия жаба стремя лунка фиолетовый;информационный шум;p3;irrelevant;Аналитика;;Бессвязный текст без смысловой нагрузки;
68;Интеллект-Системс;Казань;2026-06-13;Forbes;https://www.forbes.ru/news/mashinnyi-kod-oblako-skovoroda-68;машинный код облако сковорода алгоритмический суп дизеринг;кодек сломался градиент зелёный оператор морзе кролик квазар лопатка;информационный шум;p3;irrelevant;Аналитика;;Бессвязный текст без смысловой нагрузки;
69;СловоГен;Нижний Новгород;2026-06-14;ComNews;https://www.comnews.ru/news/parsing-tablic-dusha-robota-69;парсинг таблиц душа робота ветер синтаксис;корпуса слов мехмат динозавр энкодер затычка параметр капля шум;информационный шум;p3;irrelevant;Аналитика;;Бессвязный текст без смысловой нагрузки;
70;НейроТек;Самара;2026-06-15;D-Russia;https://d-russia.ru/news/shtraf-za-utechku-dannyh-70;Штраф за утечку данных;"Компания ""НейроТек"" получила предписание от Роскомнадзора в связи с масштабной утечкой логов общения пользователей с их чат-ботом. Компании грозит штраф до 5 млн рублей.";надзорная санкция и юридический риск;p1;negative;Юристы;Сверить логирование диалогов чат-бота на аналогичные утечки;Предписание РКН, штраф до 5 млн руб. за утечку логов;
71;АлгоМаш;Томск;2026-06-16;Rusbase;https://rb.ru/news/proverka-obuchayuschei-vyborki-71;Проверка обучающей выборки;"Прокуратура инициировала проверку датасетов стартапа ""АлгоМаш"" на предмет нарушения законодательства о защите персональных данных.";надзорная санкция и юридический риск;p1;negative;Юристы;Проверить источники наших обучающих датасетов на аналогичные риски;Прокурорская проверка датасетов на защиту персональных данных;
72;СловоГен;Иннополис;2026-06-17;Право.ру;https://pravo.ru/news/isk-ot-associacii-pisatelei-72;Иск от ассоциации писателей;"Группа российских авторов подала коллективный иск на создателей платформы ""СловоГен"" за использование их произведений при обучении LLM без выплаты роялти.";надзорная санкция и юридический риск;p1;negative;Юристы;Проверить лицензионную чистоту литературных источников в корпусах;Коллективный иск ассоциации авторов за роялти;
73;Интеллект-Системс;Красноярск;2026-06-18;РИА Новости;https://ria.ru/news/blokirovka-schetov-73;Блокировка счетов;"Налоговая служба приостановила операции по счетам компании ""Интеллект-Системс"" из-за подозрений в серых схемах при закупке вычислительного оборудования.";надзорная санкция и юридический риск;p1;negative;Юристы;Проверить прозрачность наших схем закупки оборудования;Блокировка счетов ФНС по подозрению в дроблении бизнеса;
74;ДатаСинтез;Пермь;2026-06-19;Известия;https://iz.ru/news/delo-o-krazhe-kommercheskoi-74;Дело о краже коммерческой тайны;"Следственный комитет завел дело на экс-разработчика ""ДатаСинтез"", обвиняемого в незаконном копировании весов проприетарной языковой модели.";надзорная санкция и юридический риск;p1;negative;Юристы;Проверить контроль доступа к весам наших моделей;Уголовное дело о краже весов модели экс-сотрудником;
75;Умные Сети;Уфа;2026-06-20;РБК;https://www.rbc.ru/news/rasistskie-vyskazyvaniya-chat-bota-75;Расистские высказывания чат-бота;"Новая языковая модель от ""Умные Сети"" начала генерировать оскорбительные ответы на запросы пользователей, что вызвало волну критики в социальных сетях.";репутационный риск;p1;negative;PR;Прогнать наши модели на аналогичные провокационные запросы;Публичный скандал с расистскими ответами модели;
76;Когнитиум;Ростов-на-Дону;2026-06-21;Коммерсантъ;https://www.kommersant.ru/news/massovyi-uhod-top-menedzhmenta-76;Массовый уход топ-менеджмента;"Сразу три ведущих ML-инженера и технический директор покинули проект ""Когнитиум"", сославшись на разногласия с инвесторами и токсичную атмосферу.";репутационный риск;p2;negative;PR;Мониторить судьбу проекта, оценить возможность найма специалистов;Уход техдиректора и трёх ML-инженеров из-за разногласий с инвесторами;
77;ТекстЛаб;Челябинск;2026-06-22;Ведомости;https://www.vedomosti.ru/news/generaciya-feikovyh-novostei-77;Генерация фейковых новостей;"Алгоритмы компании ""ТекстЛаб"" были уличены в массовом создании правдоподобных, но полностью выдуманных новостных статей, которые ввели в заблуждение несколько СМИ.";репутационный риск;p1;negative;PR;Подготовить позицию по защите от дезинформации в наших продуктах;Обвинение в массовой генерации фейковых новостей;
78;НейроПрогресс;Воронеж;2026-06-23;Интерфакс;https://www.interfax.ru/news/obvineniya-v-plagiate-koda-78;Обвинения в плагиате кода;"На профильном форуме Habr появилась статья, где доказывается, что хваленый алгоритм ""НейроПрогресс"" является просто оберткой над бесплатной open-source моделью.";репутационный риск;p2;negative;PR;Подготовить сравнение технологической независимости решения;Публичное обвинение в заимствовании open-source модели;
79;АлгоМаш;Владивосток;2026-06-24;TAdviser;https://www.tadviser.ru/news/stul-zelenyi-oblako-79;Стул зеленый облако;Квадратный бежать модель нейросеть почему камень окно вода спать репутация громко петь алгоритм.;информационный шум;p3;irrelevant;Аналитика;;Бессвязный текст без смысловой нагрузки;
80;Сфера Интеллекта;Москва;2026-06-25;CNews;https://www.cnews.ru/news/masshtabnaya-konferenciya-ai-future-80;Масштабная конференция AI-Future 2026;"Компания ""Сфера Интеллекта"" провела ежегодную конференцию, на которой представила обновленную линейку B2B-продуктов на базе генеративного ИИ.";PR-активность конкурента;p3;positive;PR;;Ежегодная конференция с презентацией B2B-линейки;
81;КодРазума;Санкт-Петербург;2026-06-26;Хабр;https://habr.com/news/zapusk-besplatnogo-kursa-81;Запуск бесплатного курса;"Платформа ""КодРазума"" объявила о старте открытой образовательной программы по промпт-инжинирингу для школьников и студентов.";PR-активность конкурента;p3;positive;PR;;Образовательная инициатива для школьников и студентов;
82;МегаМодель;Новосибирск;2026-06-27;vc.ru;https://vc.ru/news/intervyu-ceo-na-federalnom-82;Интервью CEO на федеральном канале;"Глава компании ""МегаМодель"" дал развернутое интервью РБК, где рассказал о планах по захвату 30% рынка корпоративных AI-ассистентов в ближайшие два года.";PR-активность конкурента;p2;positive;PR;Оценить реалистичность заявленных 30% доли рынка;Громкое заявление CEO о планах захвата рынка ассистентов;
83;Логика Данных;Екатеринбург;2026-06-28;Forbes;https://www.forbes.ru/news/sponsorstvo-krupnogo-hakatona-83;Спонсорство крупного хакатона;"Стартап ""Логика Данных"" выступил генеральным спонсором всероссийского хакатона по машинному обучению, выделив призовой фонд в 10 млн рублей.";PR-активность конкурента;p3;positive;PR;;Спонсорство отраслевого хакатона на 10 млн руб.;
84;СмартАналитика;Казань;2026-06-01;ComNews;https://www.comnews.ru/news/rebrending-i-novaya-filosofiya-84;Ребрендинг и новая философия;"Разработчик ML-решений ""СмартАналитика"" представил новый логотип и манифест, сфокусировав позиционирование на этичном искусственном интеллекте.";PR-активность конкурента;p3;positive;PR;;Смена позиционирования на этичный искусственный интеллект;
85;НейроТек;Нижний Новгород;2026-06-02;D-Russia;https://d-russia.ru/news/padenie-api-v-praim-85;Падение API в прайм-тайм;"Корпоративные клиенты ""НейроТек"" жалуются на регулярные сбои в работе API: вчера сервис был недоступен более 4 часов, парализовав работу колл-центров.";системная проблема (возможность для входа);p2;negative;Аналитика;Предложить резервный канал на время инцидентов конкурента;Регулярные сбои API в часы пиковой нагрузки;
86;АлгоМаш;Самара;2026-06-03;Rusbase;https://rb.ru/news/ogranicheniya-v-russkoi-morfologii-86;Ограничения в русской морфологии;"Пользователи отмечают, что флагманская модель ""АлгоМаш"" стала хуже справляться со сложными падежными конструкциями после последнего обновления.";системная проблема (возможность для входа);p2;negative;Аналитика;Подготовить сравнительный тест на сложных падежных конструкциях;Пользователи жалуются на деградацию качества после обновления;
87;СловоГен;Томск;2026-06-04;Право.ру;https://pravo.ru/news/deficit-vychislitelnyh-moschnostei-87;Дефицит вычислительных мощностей;"Из-за нехватки GPU компания ""СловоГен"" временно приостановила регистрацию новых B2B-клиентов и заморозила развитие тяжелых моделей.";системная проблема (возможность для входа);p2;negative;Аналитика;Предложить свободные мощности клиентам, которым отказали в регистрации;Нехватка GPU остановила регистрацию новых B2B-клиентов;
88;Интеллект-Системс;Иннополис;2026-06-05;РИА Новости;https://ria.ru/news/slozhnosti-integracii-88;Сложности интеграции;"Банки массово отказываются от коробочного решения ""Интеллект-Системс"" из-за того, что процесс внедрения в on-premise контур занимает более года.";системная проблема (возможность для входа);p2;negative;Аналитика;Подготовить сравнение сроков внедрения для банковского сегмента;Внедрение занимает более года, банки отказываются от решения;
89;ДатаСинтез;Красноярск;2026-06-06;Известия;https://iz.ru/news/utechka-konteksta-v-dialogah-89;Утечка контекста в диалогах;"В алгоритмах ""ДатаСинтез"" обнаружен баг: при длинной сессии чат-бот забывает изначальный промпт уже на десятом сообщении пользователя.";системная проблема (возможность для входа);p3;negative;Аналитика;;Технический баг с потерей контекста в длинных сессиях;
90;Умные Сети;Пермь;2026-06-07;РБК;https://www.rbc.ru/news/liderstvo-v-benchmarke-russiansuperglue-90;Лидерство в бенчмарке RussianSuperGLUE;"Языковая модель компании ""Умные Сети"" официально заняла первую строчку в независимом рейтинге оценки понимания русского языка, обойдя прошлогодних лидеров.";признание качества и конкурсы;p2;positive;Маркетинг;Сравнить нашу модель на том же рейтинге;Первое место в независимом рейтинге понимания русского языка;
91;Когнитиум;Уфа;2026-06-08;Коммерсантъ;https://www.kommersant.ru/news/pobeda-v-nominacii-ai-91;Победа в номинации AI-прорыв;"Продукт от ""Когнитиум"" получил престижную премию Рунета в категории технологий искусственного интеллекта за лучшее применение в медицине.";признание качества и конкурсы;p2;positive;Маркетинг;Изучить кейс применения в медицине для нашего портфеля;Премия Рунета в номинации медицинского применения ИИ;
92;ТекстЛаб;Ростов-на-Дону;2026-06-09;Ведомости;https://www.vedomosti.ru/news/grant-ot-fonda-sodeistviya-92;Грант от Фонда содействия инновациям;"Команда ""ТекстЛаб"" выиграла правительственный грант на 50 млн рублей для разработки суверенной системы автоматического перевода.";признание качества и конкурсы;p2;positive;Маркетинг;Оценить доступность аналогичных грантов для нашего направления;Госгрант на 50 млн руб. на систему перевода;
93;Кодариум;Челябинск;2026-06-10;Интерфакс;https://www.interfax.ru/news/traktor-letet-konkurs-93;Трактор лететь конкурс;Желтый дерево победа первое место модель ИИ алгоритм вода прыгать стол награда пустой стакан.;информационный шум;p3;irrelevant;Аналитика;;Бессвязный текст без смысловой нагрузки;
94;НейроПрогресс;Воронеж;2026-06-11;TAdviser;https://www.tadviser.ru/news/top-10-perspektivnyh-startapov-94;Топ-10 перспективных стартапов Forbes;"Компания ""НейроПрогресс"" вошла в ежегодный рейтинг Forbes как один из самых быстрорастущих ML-проектов в Восточной Европе.";признание качества и конкурсы;p2;positive;Маркетинг;Отслеживать позиционирование конкурента в медиа после рейтинга;Попадание в рейтинг перспективных стартапов Forbes;
95;Сфера Интеллекта;;2026-06-12;CNews;https://www.cnews.ru/news/obzor-rynka-generativnogo-ii-95;Обзор рынка генеративного ИИ в России;"Аналитическое агентство выпустило большой отчет о состоянии отрасли машинного обучения. В документе упоминаются ключевые игроки, включая ""Сфера Интеллекта"" и ""МегаМодель"".";косвенное упоминание;p3;neutral;Аналитика;;Упоминание в перечне ключевых игроков отраслевого обзора;
96;КодРазума;Москва;2026-06-13;Хабр;https://habr.com/news/vnedrenie-ii-v-riteil-96;Внедрение ИИ в ритейл;"Крупная сеть супермаркетов рассказала о цифровизации процессов. Вскользь было отмечено, что для анализа спроса они тестируют несколько коробочных ML-решений от локальных вендоров, таких как ""КодРазума"".";косвенное упоминание;p3;neutral;Аналитика;;Мимолётное упоминание в статье о цифровизации ритейла;
97;Логика Данных;Санкт-Петербург;2026-06-14;vc.ru;https://vc.ru/news/diskussiya-o-buduschem-llm-97;Дискуссия о будущем LLM на форуме;"Во время панельной сессии ПМЭФ эксперты обсуждали порог входа в индустрию, приведя в пример архитектурные подходы команды ""Логика Данных"".";косвенное упоминание;p3;neutral;Аналитика;;Архитектурные подходы упомянуты в дискуссии на ПМЭФ;
